instance_idx,instance,epsilon,runtime
7107,"[0.38053431 0.60250296 0.46109537 0.26003673 0.84571446 0.56767047
 0.84565961 0.16541584 0.18650007 0.18500909]",0.079,58.443434953689575
7108,"[0.68379414 0.27842112 0.96143402 0.80143481 0.74699282 0.4292046
 0.70347468 0.54212857 0.50729562 0.87210818]",0.149,60.413875341415405
7109,"[0.22256285 0.04633218 0.25750394 0.6049998  0.51973724 0.32047457
 0.49968215 0.0851729  0.33394368 0.70248051]",0.101,100.50971722602844
7110,"[0.77092343 0.90984629 0.69860043 0.16689946 0.48148173 0.47890921
 0.60974983 0.17173044 0.35633076 0.09796895]",0.035,56.539116859436035
7111,"[0.39017349 0.23538056 0.16829885 0.41245631 0.88632447 0.96662575
 0.39526979 0.02248733 0.1457542  0.32400088]",0,51.173149824142456
7112,"[0.62248876 0.34470054 0.61922849 0.56777391 0.48970587 0.76956188
 0.72148393 0.97017134 0.79665547 0.19556536]",0.165,58.009971618652344
7113,"[0.31584714 0.34625671 0.56432503 0.64349875 0.14604878 0.71981166
 0.26943235 0.08533841 0.0643906  0.6754125 ]",0.151,318.1898419857025
7114,"[0.21841799 0.52770605 0.14841765 0.35514636 0.95784177 0.46301643
 0.43108867 0.10341007 0.36476787 0.55561099]",0.033,56.06749391555786
7115,"[0.79648268 0.54304046 0.36149375 0.95624068 0.03207338 0.94773297
 0.69942534 0.5780365  0.16612833 0.25274613]",0.07300000000000001,59.04904341697693
7116,"[0.96154859 0.83856047 0.17128356 0.11063058 0.88797604 0.68295191
 0.52170244 0.20272279 0.17176483 0.44137675]",0.107,50.252580642700195
7117,"[0.29060802 0.34893571 0.183892   0.47193623 0.0065835  0.61718273
 0.84495381 0.55041319 0.13772674 0.46996029]",0.083,58.30929183959961
7118,"[0.16016577 0.613072   0.42988197 0.88802337 0.62923064 0.32624714
 0.15701016 0.73136893 0.32723784 0.33201692]",0.14100000000000001,523.6523039340973
7119,"[0.88500185 0.03236109 0.11482345 0.30357458 0.53776616 0.25593283
 0.12889795 0.42927442 0.17291822 0.6900817 ]",0.125,487.2915937900543
7120,"[0.13464037 0.24062711 0.03828633 0.74582223 0.52894711 0.00282056
 0.9044146  0.66966555 0.68280285 0.87715532]",0.039,56.16254734992981
7121,"[0.80687858 0.57431565 0.98061094 0.76752007 0.14154582 0.95670199
 0.03013587 0.60614466 0.8712001  0.70946422]",0.021,56.48655581474304
7122,"[0.42627249 0.38550697 0.55815179 0.72688327 0.30554874 0.24872924
 0.85812806 0.25423915 0.27844817 0.25272096]",0.015,54.53674602508545
7123,"[0.2639032  0.46430777 0.03062764 0.54659552 0.29014987 0.73438079
 0.55231904 0.09985238 0.72886818 0.09498369]",0.041,57.9909782409668
7124,"[0.83013554 0.1699564  0.00359294 0.12959393 0.09589264 0.35866479
 0.31785113 0.01815843 0.60983951 0.80605365]",0.129,488.32967805862427
7125,"[0.73080789 0.77283634 0.12216904 0.83645726 0.70834828 0.37247786
 0.69813089 0.69631413 0.13315912 0.79318333]",0.053000000000000005,55.57845425605774
7126,"[0.54824813 0.98410609 0.64792164 0.63596102 0.23501165 0.92123387
 0.74017    0.95464699 0.85083329 0.30606251]",0.137,49.55132699012756
7127,"[0.87036606 0.1984773  0.3641324  0.7715883  0.08693962 0.91463544
 0.77629349 0.81707135 0.3193413  0.68582316]",0.113,47.6959285736084
7128,"[0.55216328 0.17716829 0.04037684 0.08245603 0.4451422  0.53152422
 0.01868101 0.23795984 0.25472709 0.96384094]",0.183,176.8059163093567
7129,"[0.00699307 0.75923231 0.47088785 0.83677004 0.43176643 0.79927268
 0.84954566 0.30949827 0.90109145 0.17809087]",0,52.05290985107422
7130,"[0.32847678 0.69213646 0.29501663 0.7308374  0.59625727 0.18104667
 0.32598498 0.79345163 0.56353088 0.44295467]",0.099,830.7630743980408
7131,"[0.08826331 0.68061943 0.7852545  0.98943901 0.79748097 0.22349968
 0.7086412  0.75859612 0.46773589 0.97156587]",0,51.790645599365234
7132,"[0.68282872 0.08776315 0.38905462 0.54949227 0.97890599 0.84886824
 0.96797982 0.57044014 0.91156371 0.03897589]",0.199,58.57589507102966
7133,"[0.96426062 0.18153407 0.77658764 0.20141754 0.70931991 0.59511269
 0.37596101 0.0077624  0.51401788 0.2722946 ]",0.10300000000000001,56.22690153121948
7134,"[0.5075873  0.5777671  0.51621505 0.61742765 0.22728128 0.68685912
 0.92068173 0.28076327 0.90250386 0.74047358]",0.121,57.78142547607422
7135,"[0.75510136 0.47916437 0.88385686 0.84564079 0.12664582 0.10513255
 0.906363   0.3283598  0.39394728 0.04863862]",0.025,46.46926689147949
7136,"[0.67675896 0.74816828 0.88192817 0.67662613 0.88251481 0.1455338
 0.36549512 0.64270844 0.94338485 0.86078028]",0.07300000000000001,58.563759088516235
7137,"[0.7729681  0.25820267 0.23485207 0.57538039 0.39592572 0.24271273
 0.71176427 0.89654506 0.00855291 0.00407283]",0.019000000000000003,47.285356760025024
7138,"[0.98021793 0.84965322 0.94263923 0.65347328 0.29718891 0.27669302
 0.4625548  0.90065506 0.65944759 0.8695483 ]",0.031,48.11988568305969
7139,"[0.45189948 0.5815304  0.82833895 0.74381734 0.13543772 0.64024952
 0.92625191 0.28480924 0.23225958 0.76859224]",0.041,56.50912308692932
7140,"[0.3909992  0.93668276 0.73362587 0.24948565 0.57973908 0.91960319
 0.20929797 0.6112239  0.32938983 0.62667466]",0,51.56719946861267
7141,"[0.81237496 0.70404277 0.57230168 0.4291933  0.50628156 0.31422574
 0.50738314 0.22296833 0.67193109 0.32986567]",0.033,54.79174280166626
7142,"[0.47695134 0.30943003 0.82381126 0.99098253 0.6771905  0.48880571
 0.95524513 0.21051591 0.9960787  0.65215474]",0.199,60.14864134788513
7143,"[0.95730155 0.09391943 0.92120587 0.63682097 0.19330518 0.65758894
 0.64191863 0.00261405 0.50786107 0.21791201]",0.107,48.34246778488159
7144,"[0.71159935 0.32154684 0.01365404 0.90418998 0.40880023 0.5878686
 0.34006756 0.95393531 0.33303066 0.76582754]",0.025,47.20691204071045
7145,"[0.9620053  0.92969664 0.68337669 0.39258795 0.19556744 0.45860075
 0.31356197 0.67097176 0.33101456 0.11888114]",0,51.77926015853882
7146,"[0.0536301  0.1396541  0.12795892 0.26783832 0.48729886 0.29201919
 0.79221064 0.32973923 0.03337983 0.24302565]",0.131,159.70028257369995
7147,"[0.98669454 0.04190165 0.98195734 0.03674785 0.41107327 0.47026351
 0.0736429  0.41809666 0.30916812 0.93701782]",0.077,56.90001916885376
7148,"[0.79919542 0.11115707 0.16011744 0.55101232 0.24928154 0.66267196
 0.09324379 0.63486764 0.47760909 0.73241905]",0.083,57.58243656158447
7149,"[0.43759946 0.40522115 0.90612673 0.16885994 0.14942716 0.97842454
 0.64910741 0.65621525 0.63232042 0.36467775]",0,52.2671914100647
7150,"[0.24833238 0.00437096 0.2566699  0.36971683 0.81127851 0.34010937
 0.33296707 0.12606924 0.40788993 0.70569279]",0.079,57.07562613487244
7151,"[0.53893357 0.80201007 0.31161344 0.79358552 0.23208681 0.13689846
 0.40994253 0.98616396 0.57655836 0.60060602]",0,51.4315185546875
7152,"[0.51954859 0.69428092 0.82480983 0.40030739 0.37702966 0.66068945
 0.81961713 0.142117   0.95989085 0.88979198]",0.129,57.39539313316345
7153,"[0.14966667 0.56423378 0.37452474 0.3371587  0.02336378 0.10418343
 0.77325893 0.03712622 0.64331499 0.91600796]",0.161,296.7484667301178
7154,"[0.67821524 0.17264345 0.05581694 0.58401862 0.20878511 0.30933872
 0.0331646  0.43642365 0.4756233  0.16358978]",0.185,171.89051270484924
7155,"[0.64905343 0.68586708 0.75490919 0.81789758 0.5881662  0.6351931
 0.83907957 0.74063261 0.1575513  0.9198648 ]",0.131,48.40105962753296
7156,"[0.85010086 0.22433132 0.48038394 0.15961541 0.91964427 0.04212373
 0.0556533  0.5592256  0.88446055 0.51090785]",0,50.9737184047699
7157,"[0.45403    0.05414105 0.28607192 0.5596598  0.49099555 0.54147371
 0.8891384  0.78928597 0.89066412 0.93353234]",0,51.09290266036987
7158,"[0.6602338  0.83059479 0.74729066 0.02579211 0.07915028 0.99682894
 0.42138845 0.57692147 0.05301592 0.29113627]",0,50.759876012802124
7159,"[0.32404397 0.74065164 0.27075173 0.40835188 0.84464251 0.41695597
 0.6926104  0.01945249 0.42658695 0.83031489]",0.031,47.839194536209106
7160,"[0.91681587 0.9993238  0.17688404 0.46103194 0.45304857 0.4657764
 0.25060843 0.49481804 0.9061402  0.26087122]",0.011,54.629520893096924
7161,"[0.27258461 0.3180804  0.46810272 0.77543617 0.05285775 0.43397633
 0.1422792  0.61482168 0.50012316 0.45376027]",0.199,62.03706431388855
7162,"[0.52245268 0.79556542 0.13633085 0.79664891 0.14662763 0.40105371
 0.71955307 0.70744376 0.75588945 0.25715751]",0,52.02758979797363
7163,"[0.4926916  0.64547377 0.94150612 0.03327539 0.38719256 0.71723534
 0.54274875 0.01057447 0.20126477 0.6899737 ]",0,50.28324031829834
7164,"[0.47195005 0.86994515 0.83811371 0.63597742 0.14434523 0.58263331
 0.19090816 0.12321068 0.17420018 0.76175202]",0,50.90147399902344
7165,"[0.98298161 0.67225133 0.27005696 0.83845491 0.79180326 0.08474082
 0.60393027 0.97710412 0.5563669  0.26169124]",0.101,47.38717484474182
7166,"[0.11849987 0.00117468 0.51443643 0.72393068 0.40038617 0.8722226
 0.10277172 0.17055003 0.47953842 0.64886424]",0.101,102.996835231781
7167,"[0.05821516 0.22608886 0.42464882 0.54797183 0.37299009 0.44263458
 0.3793071  0.69938792 0.64811671 0.29367084]",0.113,257.13318943977356
7168,"[9.15907624e-02 9.26372907e-01 5.70649914e-01 5.03778839e-04
 6.76285583e-01 5.09962798e-02 1.06135253e-01 5.55267354e-01
 3.62120658e-01 7.26512761e-01]",0.199,62.25432586669922
7169,"[0.28905988 0.47355536 0.68607756 0.93029022 0.22964353 0.68267773
 0.17562518 0.08190839 0.98975724 0.17214861]",0.053000000000000005,56.88477921485901
7170,"[0.79055586 0.47337102 0.64842223 0.6744389  0.6539528  0.86009557
 0.33376272 0.23006816 0.5991461  0.32129111]",0.123,59.43574333190918
7171,"[0.25440492 0.76008397 0.34654863 0.38357785 0.67820132 0.61553009
 0.74199585 0.66894906 0.1657635  0.28128065]",0.017,55.76837468147278
7172,"[0.21118917 0.29172073 0.94115777 0.78690465 0.85078743 0.09291566
 0.89807132 0.1876542  0.45858595 0.78097669]",0,51.22086572647095
7173,"[0.4237487  0.75159423 0.7415586  0.77144638 0.68672704 0.44728867
 0.5335732  0.74354233 0.9005096  0.76712248]",0.083,57.47267174720764
