instance_idx,instance,epsilon,runtime
2305,[0.80632602 0.94372501 0.08478178],0.399,71.69156312942505
2306,[0.3148297  0.9820339  0.16436512],0.243,67.59521746635437
2307,[0.06146561 0.75924177 0.66044644],0.009000000000000001,63.53472280502319
2308,[0.6415268  0.90258599 0.0578009 ],0.367,69.88142323493958
2309,[0.63166752 0.71341075 0.66063199],0.269,59.345067739486694
2310,[0.51982603 0.29569142 0.40215342],0.005,63.020087480545044
2311,[0.68093603 0.55362326 0.30442835],0.211,67.61034321784973
2312,[0.74276967 0.90930691 0.00787017],0.399,71.04890489578247
2313,[0.27980202 0.52779998 0.9208415 ],0.005,63.230865716934204
2314,[0.70036257 0.44618279 0.20519292],0.167,68.22358012199402
2315,[0.54447566 0.78839614 0.65230358],0.263,58.69010138511658
2316,[0.69753816 0.88774712 0.78188963],0.389,69.07246541976929
2317,[0.4045407  0.19724525 0.30163545],0.101,55.339333057403564
2318,[0.03696476 0.33446681 0.72539904],0.211,66.66102242469788
2319,[0.7401241  0.12594247 0.99234801],0.033,64.52258062362671
2320,[0.28394959 0.09275049 0.55200588],0.211,66.85080742835999
2321,[0.5213837  0.75709532 0.16006579],0.233,67.93786764144897
2322,[0.02788481 0.79665473 0.5927425 ],0.011,64.02722024917603
2323,[0.24135683 0.77420983 0.72681026],0.107,56.60941123962402
2324,[0.98705372 0.11037596 0.0599378 ],0.17500000000000002,58.47767901420593
2325,[0.37301039 0.62701541 0.35460192],0.095,67.71395826339722
2326,[0.04772864 0.65099256 0.1247719 ],0.053000000000000005,62.84597587585449
2327,[0.29798439 0.73690411 0.45332147],0.113,56.621431827545166
2328,[0.98304915 0.80544515 0.98942276],0.399,71.46459674835205
2329,[0.56564993 0.8944123  0.62799959],0.327,67.7333927154541
2330,[0.53333781 0.5955692  0.35046379],0.159,67.17881441116333
2331,[0.2845573  0.78484319 0.71515008],0.133,67.25424027442932
2332,[0.67249825 0.71439239 0.51987179],0.28900000000000003,68.33850145339966
2333,[0.24765108 0.32781966 0.58260325],0.111,66.19255685806274
2334,[0.8229237  0.36124617 0.09799752],0.185,69.83660101890564
2335,[0.71170918 0.82849932 0.08194942],0.365,68.0624132156372
2336,[0.06219103 0.88858167 0.47643809],0.083,66.83538937568665
2337,[0.44620366 0.36927429 0.5264638 ],0.005,62.91916561126709
2338,[0.58829465 0.51895167 0.39492973],0.149,68.94034361839294
2339,[0.26371322 0.4988304  0.42358273],0.019000000000000003,55.70371961593628
2340,[0.44011886 0.93111554 0.48973225],0.281,59.932488679885864
2341,[0.97337    0.8238727  0.14437736],0.399,71.66794085502625
2342,[0.12712847 0.71119141 0.12940943],0.015,63.46932554244995
2343,[0.70459266 0.86333954 0.11807715],0.377,68.80323934555054
2344,[0.21265644 0.47335413 0.74680659],0.055,64.0702543258667
2345,[0.94416387 0.36931214 0.9522272 ],0.255,67.44386386871338
2346,[0.60165687 0.40860692 0.12088672],0.099,68.40368175506592
2347,[0.57181813 0.04020372 0.15333984],0.097,68.04956269264221
2348,[0.37149871 0.99111069 0.30336492],0.275,58.56296133995056
2349,[0.48596948 0.79125877 0.14216996],0.233,68.15068531036377
2350,[0.58967959 0.04857412 0.89463169],0.077,65.0934705734253
2351,[0.88914547 0.2155342  0.81946901],0.151,57.137874126434326
